"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.66222775333267e-23,1.48296652705256,0.32,0.124,3.82196027323782e-19,"Endothelial","FAM219A"
1.77401455176166e-23,1.13741572687504,0.5,0.263,4.07899165886557e-19,"Endothelial","PTPRK"
1.9066349527898e-23,0.865558338493287,0.648,0.38,4.38392574694959e-19,"Endothelial","SPTBN1"
2.36314229125138e-23,1.25454021044234,0.448,0.228,5.4335730702743e-19,"Endothelial","EXOC6"
3.90241350935524e-23,1.34799397141823,0.276,0.111,8.97281938206051e-19,"Endothelial","NHSL1"
1.12680922007531e-22,0.855269778982558,0.666,0.445,2.59087243971917e-18,"Endothelial","ST6GAL1"
1.24225010075031e-22,1.37111359160064,0.328,0.132,2.85630565665518e-18,"Endothelial","AFAP1"
2.01525924401799e-22,0.581218127261367,0.872,0.666,4.63368557977057e-18,"Endothelial","RBMS3"
2.17233817887519e-22,1.11808103599697,0.494,0.257,4.99485717468773e-18,"Endothelial","CTNNB1"
2.88719815576965e-22,1.66874892915794,0.267,0.094,6.63853471956115e-18,"Endothelial","PIEZO1"
3.80096263211257e-22,1.22975435023727,0.267,0.099,8.73955338001644e-18,"Endothelial","STIM2"
6.13608651865091e-22,1.3439323581293,0.282,0.113,1.4108703732334e-17,"Endothelial","VPS37B"
7.28508298791624e-22,1.06218060641618,0.509,0.284,1.67505913141158e-17,"Endothelial","RIN2"
7.30282099461344e-22,1.34725161611248,0.453,0.228,1.67913763129147e-17,"Endothelial","IL4R"
1.15019002002593e-21,1.28285452735869,0.387,0.193,2.64463191304563e-17,"Endothelial","PPP2R2A"
1.24896885980854e-21,1.64511098195354,0.337,0.147,2.87175409935779e-17,"Endothelial","PPP2R5A"
1.25606775903728e-21,1.02627937397407,0.471,0.246,2.88807659835441e-17,"Endothelial","PVT1"
1.65715746475828e-21,1.0869032485029,0.477,0.257,3.81030215871871e-17,"Endothelial","PLXNA2"
2.87156980216945e-21,1.36622084179799,0.279,0.107,6.60260044612822e-17,"Endothelial","MYO15B"
2.94427075786706e-21,0.948903964395402,0.605,0.373,6.76976175356374e-17,"Endothelial","SPAG9"
3.88712593750752e-21,1.13514013844196,0.512,0.291,8.93766866811104e-17,"Endothelial","CNKSR3"
5.58831868142103e-21,1.15440267241966,0.297,0.124,1.28492211441914e-16,"Endothelial","SSFA2"
6.17401753285968e-21,0.849572489736275,0.64,0.424,1.41959185133043e-16,"Endothelial","CFLAR"
6.87655808599979e-21,1.1633463019379,0.404,0.196,1.58112700071393e-16,"Endothelial","NEDD4"
1.90688011584216e-20,1.62983110950027,0.25,0.099,4.38448945035588e-16,"Endothelial","ZNF608"
2.54517816540023e-20,1.04578628109395,0.439,0.211,5.85212815570475e-16,"Endothelial","XAF1"
